month,label,main_url,visits,pageviews,actions
2021-01,open.yukon.ca,http://open.yukon.ca,510,"1,502","2,477"
2021-02,open.yukon.ca,http://open.yukon.ca,"1,624","4,456","7,597"
2021-03,open.yukon.ca,http://open.yukon.ca,"2,558","8,302","12,721"
2021-04,open.yukon.ca,http://open.yukon.ca,"2,225","5,509","9,014"
2021-05,open.yukon.ca,http://open.yukon.ca,"2,449","5,726","9,253"
2021-06,open.yukon.ca,http://open.yukon.ca,"1,804","4,849","7,201"
2021-07,open.yukon.ca,http://open.yukon.ca,"1,989","7,998","10,675"
2021-08,open.yukon.ca,http://open.yukon.ca,"2,127","6,366","9,500"
2021-09,open.yukon.ca,http://open.yukon.ca,"1,918","6,362","9,096"
2021-10,open.yukon.ca,http://open.yukon.ca,"1,903","11,263","14,174"
2021-11,open.yukon.ca,http://open.yukon.ca,"1,751","6,056","8,813"
2021-12,open.yukon.ca,http://open.yukon.ca,"1,623","4,613","6,564"
2022-01,open.yukon.ca,http://open.yukon.ca,"2,223","8,491","11,503"
2022-02,open.yukon.ca,http://open.yukon.ca,"2,074","6,067","8,559"
2022-03,open.yukon.ca,http://open.yukon.ca,"2,650","8,932","12,844"
2022-04,open.yukon.ca,http://open.yukon.ca,"2,699","8,993","12,851"
2022-05,open.yukon.ca,http://open.yukon.ca,"2,485","7,629","11,218"
2022-06,open.yukon.ca,http://open.yukon.ca,"2,294","5,749","8,779"
2022-07,open.yukon.ca,http://open.yukon.ca,"2,205","6,377","8,954"
2022-08,open.yukon.ca,http://open.yukon.ca,"2,489","6,382","9,389"
2022-09,open.yukon.ca,http://open.yukon.ca,"2,303","6,191","8,953"
2022-10,open.yukon.ca,http://open.yukon.ca,"2,558","9,143","12,656"
2022-11,open.yukon.ca,http://open.yukon.ca,"3,516","9,197","12,944"
2022-12,open.yukon.ca,http://open.yukon.ca,"2,463","5,997","8,556"
2023-01,open.yukon.ca,http://open.yukon.ca,"3,379","8,725","12,201"
2023-02,open.yukon.ca,http://open.yukon.ca,"2,946","7,324","10,664"
2023-03,open.yukon.ca,http://open.yukon.ca,"3,458","12,038","17,123"
2023-04,open.yukon.ca,http://open.yukon.ca,"3,088","15,081","19,373"
2023-05,open.yukon.ca,http://open.yukon.ca,"3,169","14,490","18,586"
2023-06,open.yukon.ca,http://open.yukon.ca,"2,196","5,416","8,033"
2023-07,open.yukon.ca,http://open.yukon.ca,"2,989","10,083","13,630"
2023-08,open.yukon.ca,http://open.yukon.ca,"3,287","9,414","13,361"
2023-09,open.yukon.ca,http://open.yukon.ca,"2,751","6,481","9,820"
2023-10,open.yukon.ca,http://open.yukon.ca,"3,012","7,303","10,845"
2023-11,open.yukon.ca,http://open.yukon.ca,"3,675","14,140","18,289"
2023-12,open.yukon.ca,http://open.yukon.ca,"3,244","9,787","13,434"
2024-01,open.yukon.ca,http://open.yukon.ca,"4,167","10,732","15,331"
2024-02,open.yukon.ca,http://open.yukon.ca,"4,077","10,538","14,902"
2024-03,open.yukon.ca,http://open.yukon.ca,"4,978","14,350","19,974"
2024-04,open.yukon.ca,http://open.yukon.ca,"4,537","11,254","16,483"
2024-05,open.yukon.ca,http://open.yukon.ca,"4,112","11,374","16,165"
2024-06,open.yukon.ca,http://open.yukon.ca,"3,750","8,998","12,880"
2024-07,open.yukon.ca,http://open.yukon.ca,"4,037","9,769","14,127"
2024-08,open.yukon.ca,http://open.yukon.ca,"3,787","11,449","15,912"
2024-09,open.yukon.ca,http://open.yukon.ca,"3,916","12,937","17,324"
2024-10,open.yukon.ca,http://open.yukon.ca,"3,855","11,249","15,487"
2024-11,open.yukon.ca,http://open.yukon.ca,"3,941","8,347","12,509"
2024-12,open.yukon.ca,http://open.yukon.ca,"3,502","8,356","12,360"
2025-01,open.yukon.ca,http://open.yukon.ca,"4,139","10,493","15,142"
2025-02,open.yukon.ca,http://open.yukon.ca,"3,759","8,613","13,024"
2025-03,open.yukon.ca,http://open.yukon.ca,"4,298","10,117","14,709"
2025-04,open.yukon.ca,http://open.yukon.ca,"5,117","13,050","18,958"
2025-05,open.yukon.ca,http://open.yukon.ca,"4,542","11,291","16,731"
2025-06,open.yukon.ca,http://open.yukon.ca,"4,673","12,341","18,027"
2025-07,open.yukon.ca,http://open.yukon.ca,"4,652","11,354","16,314"
2025-08,open.yukon.ca,http://open.yukon.ca,"6,106","11,252","15,738"
2025-09,open.yukon.ca,http://open.yukon.ca,"4,336","11,588","16,095"
2025-10,open.yukon.ca,http://open.yukon.ca,"4,668","13,678","18,534"
2025-11,open.yukon.ca,http://open.yukon.ca,"5,755","7,700","9,490"
2025-12,open.yukon.ca,http://open.yukon.ca,"3,391","6,657","9,910"
2026-01,open.yukon.ca,http://open.yukon.ca,"3,438","6,430","9,984"
2026-02,open.yukon.ca,http://open.yukon.ca,"3,027","6,461","10,135"
